coffee name,coffee rating,roaster name,roaster city,coffee origin country,coffee origin city,roast level,price,aroma,acidity,body,flavor,aftertaste,species (variety),price per kg USD,roaster country
Angamaza,94,JBC Coffee Roasters,Madison,Ecuador,Conganama;Loja Province,Medium-Light,20.0,9,9,9,9,8,Catimor;Caturra;Typica,58.79067579881831,United States of America
Ethiopia Rhapsody Espresso,95,One Fresh Cup,Taipei,Ethiopia,Yirgacheffe growing region,Medium-Light,19.77,9,9,9,9,9,,87.09251101321586,Taiwan
Kona Geisha Champagne Natural,95,Paradise Roasters,Minneapolis,Hawaii,Kealakekua;Kona,Light,74.95,9,9,9,9,9,Geisha;Robusta,660.9347442680777,United States of America
Dafis Abafita Natural Ethiopia,95,PT's Coffee Roasting Co.,Topeka,Ethiopia,Oromia Region;Jimma Zone,Light,21.5,9,9,9,9,9,Java,63.199976483729685,United States of America
Berg Wu Championship Sidamo Washed G1 Lot 20-02,95,Kakalove Cafe,Chia-Yi,Ethiopia,Sidama (also Sidamo) growing region,Light,11.22,9,9,9,9,9,,49.47089947089947,Taiwan
Ka’u Yellow Bourbon,94,Big Island Coffee Roasters,Mountain View,Hawaii,Ka’u growing region,Medium-Light,33.0,9,9,9,9,8,Bourbon,116.40211640211639,United States of America
Ethiopia Natural Hambela Wate,95,Kakalove Cafe,Chia-Yi,Ethiopia,Guji Zone;Oromia Region,Medium-Light,10.23,9,9,9,9,9,,45.10582010582011,Taiwan
Kinini Village Rwanda,94,PT's Coffee Roasting Co.,Topeka,Rwanda,Northern Province;Rulindo District,Medium-Light,20.0,9,9,9,9,8,Java;Bourbon,58.79067579881831,United States of America
Ethiopia Natural Guji Uraga G1 Lot 20-05,94,Kakalove Cafe,Chia-Yi,Ethiopia,Guji Zone;Oromia Region,Medium-Light,12.38,9,9,9,9,8,,54.58553791887125,Taiwan
Kenya Nyeri Muchoki Estate AA,94,Kakalove Cafe,Chia-Yi,Kenya,Nyeri growing region,Light,11.55,9,9,9,9,8,,50.925925925925924,Taiwan
Fruity Espresso Blend,95,NINETYs Roastery,Hong Kong,Panama;Ethiopia;Kenya,,Medium-Light,14.99,9,9,9,9,9,,74.95,China
