Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,16.222,4.994,1.545,5.303,7.386,7.055,5.322,5.169,5.171,15.342,11.534,13.109,10.985,11.894,10.085,10.574,11.753,11.184,8.568,3.455,1.821,1.637,1.867,1.701,3.683,5.092,3.321,4.661,7.942,7.797
Bahamas,8.357,8.504,7.560,8.246,15.617,13.305,11.817,9.478,6.190,6.247,13.199,14.906,12.290,17.391,15.786,12.892,12.144,11.658,17.825,13.739,14.451,10.312,14.932,13.763,12.828,17.047,12.999,10.660,6.650,7.823
Barbados,3.510,3.434,3.257,2.571,3.896,4.988,6.784,5.878,8.569,6.859,6.941,7.892,10.121,9.079,10.884,4.966,4.711,4.360,4.513,5.167,4.782,4.175,4.652,4.647,4.774,5.901,4.733,5.235,7.353,5.565
British Virgin Islands,0.041,0.021,0.000,0.030,0.002,0.012,0.048,0.041,1.963,0.017,1.035,0.934,0.000,0.008,0.022,0.015,0.018,0.380,0.006,0.539,2.750,0.233,0.275,0.097,0.290,0.347,0.245,0.277,0.187,0.154
Cayman Islands,0.255,0.478,0.385,0.256,0.254,0.374,0.267,0.298,1.926,0.232,0.306,0.272,0.571,2.023,0.390,0.173,0.303,0.173,0.650,0.867,1.950,1.950,1.777,1.777,3.372,3.219,4.205,13.104,11.742,4.640
Dominica,0.001,0.509,0.495,0.283,0.623,0.176,2.988,1.066,0.690,0.490,1.534,0.620,1.102,1.748,1.838,0.743,0.250,0.302,0.337,0.437,0.445,0.396,0.318,0.334,5.780,0.744,0.226,0.593,0.485,0.507
Grenada,0.645,0.419,0.291,0.486,0.488,0.383,0.864,0.333,0.616,0.516,0.659,0.745,0.765,0.846,0.564,0.633,0.684,0.544,1.026,0.599,0.975,1.059,1.048,1.100,1.352,1.145,1.184,0.219,0.227,0.325
Montserrat,0.063,0.099,0.097,0.113,0.099,0.100,0.050,0.000,0.000,0.134,0.051,0.046,0.063,0.037,0.053,0.039,0.055,0.033,0.033,0.030,0.030,0.065,0.075,0.055,0.077,0.057,0.055,0.042,0.031,0.010
Netherlands Antilles,6.680,8.254,7.347,9.070,10.290,8.469,4.294,6.999,15.494,15.126,3.733,4.000,4.100,2.757,2.743,6.117,10.083,6.767,8.200,8.903,6.206,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.314
Puerto Rico,8.819,25.560,14.105,14.912,19.903,6.781,16.419,10.830,98.841,168.035,134.087,72.071,112.792,78.759,100.231,114.488,54.763,51.553,105.294,158.085,164.053,122.071,177.330,166.047,199.239,190.950,184.726,114.670,122.167,248.630
Saint Kitts and Nevis,0.433,1.300,1.300,0.433,0.433,0.433,0.433,0.433,0.357,0.152,0.289,0.375,0.352,0.503,0.297,0.191,0.218,0.214,0.537,0.660,0.387,0.437,0.746,0.514,0.494,0.500,0.500,0.981,0.136,0.195
Saint Lucia,1.966,3.057,1.530,1.793,2.144,1.630,2.280,2.774,2.965,2.373,2.371,2.997,1.293,2.418,3.495,2.332,1.885,2.260,2.036,1.373,1.797,0.965,2.837,2.312,1.836,2.473,2.150,2.525,0.945,0.394
